key,classname,name,status,time,message
::blind_transfer_parkingtimeout,,blind_transfer_parkingtimeout,skip,0.00,Skip while failures are debugged
::callparking,,callparking,pass,28.75,
::callparking_retrieval,,callparking_retrieval,pass,18.17,
::cause_answered_elsewhere,,cause_answered_elsewhere,pass,3.95,
::example,,example,pass,0.61,
::feature_attended_transfer,,feature_attended_transfer,pass,19.38,
::feature_blonde_transfer,,feature_blonde_transfer,pass,15.21,
::feature_call_pickup,,feature_call_pickup,pass,14.11,
::masquerade,,masquerade,fail,119.06,Running tests/masquerade ...
::predial,,predial,pass,60.72,
::remote_test,,remote_test,skip,0.00,Failed dependency
::udptl,,udptl,skip,0.00,"requires further rework for pjsip, see ASTERISK-30292"
::udptl_v6,,udptl_v6,skip,0.00,"requires further rework for pjsip, see ASTERISK-30292"
agi::exit_status,agi,exit_status,pass,12.71,
agi::nominal,agi,nominal,pass,15.66,
apps._if::if_comprehensive,apps._if,if_comprehensive,pass,5.42,
apps._if::if_endif,apps._if,if_endif,pass,3.99,
apps.agents.agent_acknowledge::agent_acknowledge_error,apps.agents.agent_acknowledge,agent_acknowledge_error,pass,34.41,
apps.agents.agent_acknowledge::nominal,apps.agents.agent_acknowledge,nominal,pass,36.98,
apps.agents.agent_login::login_errors,apps.agents.agent_login,login_errors,pass,6.46,
apps.agents.agent_login::nominal,apps.agents.agent_login,nominal,pass,7.43,
apps.agents.agent_request::nominal,apps.agents.agent_request,nominal,pass,19.42,
apps.authenticate::off_nominal,apps.authenticate,off_nominal,pass,9.15,
apps.bridge.bridge_wait::bridge_wait_e_options,apps.bridge.bridge_wait,bridge_wait_e_options,pass,17.26,
apps.bridge.bridge_wait::bridge_wait_roles,apps.bridge.bridge_wait,bridge_wait_roles,pass,11.63,
apps.bridge.bridge_wait::bridge_wait_s_option,apps.bridge.bridge_wait,bridge_wait_s_option,pass,9.67,
apps.bridge::bridge_add,apps.bridge,bridge_add,pass,9.65,
apps.bridge::bridge_baseline,apps.bridge,bridge_baseline,pass,5.07,
apps.bridge::bridge_transfer_callee,apps.bridge,bridge_transfer_callee,pass,4.14,
apps.chanspy::chanspy_barge,apps.chanspy,chanspy_barge,pass,7.02,
apps.chanspy::chanspy_w_mixmonitor,apps.chanspy,chanspy_w_mixmonitor,skip,0.00,"pjsua requirement, see ASTERISK-30292"
apps.confbridge.sfu::add_remove_sources,apps.confbridge.sfu,add_remove_sources,skip,0.00,See ASTERISK-29363
apps.confbridge.sfu::local_add_remove_sources,apps.confbridge.sfu,local_add_remove_sources,skip,0.00,See ASTERISK-29363
apps.confbridge.sfu::local_no_video_source,apps.confbridge.sfu,local_no_video_source,pass,10.35,
apps.confbridge.sfu::local_nominal,apps.confbridge.sfu,local_nominal,pass,10.05,
apps.confbridge.sfu::no_video_source,apps.confbridge.sfu,no_video_source,pass,10.19,
apps.confbridge.sfu::nominal,apps.confbridge.sfu,nominal,pass,9.87,
apps.confbridge::confbridge_confkick,apps.confbridge,confbridge_confkick,pass,4.06,
apps.confbridge::confbridge_dynamic_menus,apps.confbridge,confbridge_dynamic_menus,pass,38.21,
apps.confbridge::confbridge_end_marked,apps.confbridge,confbridge_end_marked,pass,26.96,
apps.confbridge::confbridge_marked,apps.confbridge,confbridge_marked,pass,21.31,
apps.confbridge::confbridge_marked_unmarked,apps.confbridge,confbridge_marked_unmarked,pass,30.30,
apps.confbridge::confbridge_noanswer,apps.confbridge,confbridge_noanswer,pass,9.99,
apps.confbridge::confbridge_nominal,apps.confbridge,confbridge_nominal,pass,51.68,
apps.confbridge::confbridge_recording,apps.confbridge,confbridge_recording,pass,40.69,
apps.confbridge::confbridge_result,apps.confbridge,confbridge_result,skip,0.00,See ASTERISK-29362
apps.confbridge::confbridge_start_muted,apps.confbridge,confbridge_start_muted,pass,10.79,
apps.confbridge::confbridge_talking,apps.confbridge,confbridge_talking,pass,13.25,
apps.confbridge::confbridge_talking_list,apps.confbridge,confbridge_talking_list,pass,19.36,
apps.confbridge::confbridge_timeout,apps.confbridge,confbridge_timeout,pass,13.95,
apps.confbridge::confbridge_triple_lindy,apps.confbridge,confbridge_triple_lindy,pass,68.33,
apps.confbridge::confbridge_waitmarked_kick,apps.confbridge,confbridge_waitmarked_kick,pass,15.86,
apps.confbridge::confbridge_waitmarked_normal,apps.confbridge,confbridge_waitmarked_normal,pass,39.39,
apps.confbridge::confbridge_waitmarked_only,apps.confbridge,confbridge_waitmarked_only,pass,15.05,
apps.confbridge::confbridge_waitmarked_single,apps.confbridge,confbridge_waitmarked_single,pass,31.17,
apps.confbridge::muted_conference_start_muted,apps.confbridge,muted_conference_start_muted,pass,13.09,
apps.confbridge::regcontext,apps.confbridge,regcontext,pass,4.09,
apps.control_playback::control_forward,apps.control_playback,control_forward,pass,42.23,
apps.control_playback::control_pause,apps.control_playback,control_pause,pass,37.71,
apps.control_playback::control_restart,apps.control_playback,control_restart,pass,43.24,
apps.control_playback::control_reverse,apps.control_playback,control_reverse,pass,61.17,
apps.control_playback::control_stop,apps.control_playback,control_stop,pass,5.89,
apps.control_playback::nominal,apps.control_playback,nominal,pass,19.78,
apps.control_playback::remote_uri,apps.control_playback,remote_uri,skip,0.00,ASTERISK-30141
apps.dial.action_post_answer::called_party_continue,apps.dial.action_post_answer,called_party_continue,pass,8.93,
apps.dial.action_post_answer::caller_continue,apps.dial.action_post_answer,caller_continue,pass,5.98,
apps.dial.action_post_answer::party_transfer,apps.dial.action_post_answer,party_transfer,pass,5.45,
apps.dial.dial_parallel::dial_parallel_all_busy,apps.dial.dial_parallel,dial_parallel_all_busy,pass,4.00,
apps.dial.dial_parallel::dial_parallel_all_cancel,apps.dial.dial_parallel,dial_parallel_all_cancel,pass,5.57,
apps.dial.dial_parallel::dial_parallel_all_congestion,apps.dial.dial_parallel,dial_parallel_all_congestion,pass,4.04,
apps.dial.dial_parallel::dial_parallel_all_no_answer,apps.dial.dial_parallel,dial_parallel_all_no_answer,pass,3.99,
apps.dial.dial_parallel::dial_parallel_all_unavail,apps.dial.dial_parallel,dial_parallel_all_unavail,pass,4.03,
apps.dial.dial_parallel::dial_parallel_answer_cancel,apps.dial.dial_parallel,dial_parallel_answer_cancel,pass,4.04,
